ment_code	year	peak_n_ment
IRQ	2003	3434
UKR	2014	2593
COG	2001	2121
ISR	2002	1919
AFG	2018	1807
ISR	2006	1754
SOM	2012	1455
AFG	2014	1435
AFG	2010	1371
ISR	2019	1343
ISR	2014	1298
USA	2018	1188
YEM	2018	1185
LBN	2006	1180
AFG	2002	1176
COG	2018	1158
SDN	2019	1150
LBY	2018	1099
IRQ	2019	1070
TLS	2006	1064
AGO	1996	1052
IRN	2018	1032
SOM	2009	996
IRQ	2015	990
IRQ	2008	984
MLI	2019	968
SLE	2001	902
HTI	2011	864
SSD	2017	833
SOM	2017	810
BIH	1995	796
CAF	2019	781
BDI	1996	772
BIH	2000	769
HTI	2017	755
AFG	1996	736
SDN	2006	698
IRN	2013	682
RWA	1995	666
LBR	1996	661
CAF	2014	648
USA	2014	639
SDN	2011	631
PSE	2015	630
COG	2006	628
HTI	2005	598
BDI	2019	592
ISR	1996	591
LBY	2011	578
USA	2002	546
TLS	2012	544
IRQ	1998	533
MMR	2018	530
HRV	1995	516
DEU	2019	506
GIN	2018	502
BIH	2010	499
SLE	2009	498
UKR	2019	498
MLI	2014	497
PSE	2002	495
SWE	2018	486
COL	2018	477
KWT	2018	474
SOM	2001	472
LBY	1998	470
USA	2008	450
RUS	2014	442
GIN	2003	436
FRA	2015	433
HTI	1996	430
RUS	2018	422
LBN	1996	413
RWA	2014	411
ESP	2016	408
IDN	1999	407
SLE	2014	400
SOM	1996	392
CAF	2001	389
IRN	2008	388
PSE	2006	370
GEO	2008	370
LBR	2004	367
EGY	2016	351
RWA	2000	348
BGD	2018	345
TLS	2000	344
NLD	2018	339
USA	1996	338
AUS	2014	335
MMR	2007	333
JOR	2015	327
MKD	2001	324
LBN	2018	322
SSD	2011	320
TUR	2018	317
SDN	1996	308
NZL	2015	295
BDI	2007	290
GIN	2014	287
IDN	2019	282
LBR	2018	278
ZAF	2019	272
ALB	1997	272
LUX	2014	268
ITA	2017	262
MYS	2015	256
KAZ	2018	254
JPN	2016	254
SYR	2018	253
PAK	2013	250
NGA	2015	249
GNQ	2019	244
POL	2018	238
TCD	2008	237
PER	2019	236
DJI	2008	236
AGO	2016	234
CHL	2015	231
MNE	2004	228
ETH	2018	224
GIN	2008	218
ETH	2000	218
DEU	2011	216
BEL	2019	213
LTU	2015	208
ESP	2003	207
KOR	2014	204
ERI	2000	203
GTM	1997	202
DEU	2003	202
ARG	2014	198
TCD	2014	196
GEO	1996	194
DOM	2019	193
ERI	2017	193
UGA	2010	192
CAN	2000	191
EGY	1996	187
JPN	2010	187
PRT	2011	186
BRA	2011	185
NOR	2002	183
ZAF	2012	181
SGP	2002	180
ERI	2008	179
IND	1998	177
TZA	2006	177
PAK	1998	176
ARG	1995	175
CRI	2008	175
GTM	2012	174
MOZ	1995	172
SRB	1995	171
BEL	2008	171
URY	2016	167
NAM	2000	167
SEN	2016	162
COL	2001	161
SWE	2001	160
HRV	2008	160
NIC	2018	155
ZWE	2008	155
QAT	2006	153
MEX	2010	149
MNE	1995	148
PER	2006	147
SLV	1995	143
TUN	2001	143
BEL	2001	143
MEX	2002	142
JAM	2001	140
GIN	1996	139
AUT	2010	139
ETH	1996	138
NPL	2008	138
PAN	2008	136
BGD	2000	135
GHA	2006	132
AUT	2006	130
SWE	2009	129
LUX	2005	109
